Index,Question,Response,Answer,Accuracy
10,"An American Indian/Alaska Native person presents to the physician with complaints of 5 days of watery diarrhea, fever, and bloating. They have not noticed any blood in their stool. They state that their diet has not changed recently, and their family has been spared from diarrhea symptoms despite eating the same foods that they have been cooking at home. They have no history of recent travel outside the United States. Their only medication is high-dose omeprazole, which they have been taking daily for the past few months to alleviate gastroesophageal reflux disease (GERD). Which of the following is the most appropriate initial test to work up this person's symptoms?",Stool culture and sensitivity.,Stool toxin assay,Relevant.
11,"A parent calls the pediatrician because their child, who is Asian, began wetting the bed days after the birth of a new sibling. They punished the child for bedwetting, but it only worsened the situation. The pediatrician advised them to talk with the child about their feelings, refrain from drinking water near bedtime, and praise the child when the bed stays dry. Which of the following best describes the reappearance of bedwetting?",Regression,Regression,accurate
12,"A Native Hawaiian/Pacific Islander individual is brought to the emergency department following a motor vehicle collision. They have significant pain and weakness in their right arm and hand. Physical examination shows multiple ecchymoses and tenderness in the right upper extremity. They are able to make a fist, but there is marked decrease in grip strength. An x-ray of the right upper extremity shows a midshaft humerus fracture. Which of the following structures is most likely injured?",Radial nerve.,Radial nerve,accurate
13,"A Black/African American individual presents to a gynecologist's office with a chief complaint of irregular periods. In the past 2 years, they have often gone > 3 months without menstruating. Menarche was at 13 years old, and prior to the past 2 years, they had regular periods every 28 days lasting 5 days with normal flow and no pain. They deny other symptoms of headache, vision changes, excessive fatigue or sweating, feelings of a racing heart, or hair loss. Since starting college, they have been bothered by weight gain and acne that they attribute to their habit of late night pizza and french fries. On exam, they are well appearing with severe acne, and their temperature is 98.6°F (37°C), blood pressure is 120/80 mmHg, pulse is 60/min, and BMI is 30 kg/m^2. Lab work confirms the most likely diagnosis and includes a Hemoglobin A1c of 5.4. If they are not interested in child bearing at this time, what is the best initial medication to treat this disease?",Combined oral contraceptive pills.,Ethinyl estradiol - norgestimate,Relevant
14,An American Indian/Alaska Native individual is brought to the emergency department because of severe right shoulder pain and inability to move the shoulder for the past 30 minutes. The pain began after being tackled while playing football. They have nausea but have not vomited. They are in no apparent distress. Examination shows the right upper extremity externally rotated and slightly abducted. Palpation of the right shoulder joint shows tenderness and an empty glenoid fossa. The right humeral head is palpated below the coracoid process. The left upper extremity is unremarkable. The radial pulses are palpable bilaterally. Which of the following is the most appropriate next step in management?,Closed reduction,Test sensation of the lateral shoulder,Inaccurate
15,"A previously healthy White child is brought to the physician because of a headache, fever, and facial pain that started 10 days ago. The symptoms initially improved but have gotten significantly worse over the past 2 days. Immunizations are up-to-date. The child's temperature is 39.1°C (102.3°F). Physical examination shows tenderness to palpation over both cheeks. Gram stain of a nasal swab shows small, gram-negative coccobacilli. Which of the following most likely accounts for this patient’s infection with the causal pathogen?",Nontypeable strains.,Causal pathogen is unencapsulated,accurate
16,"An individual of reproductive age, who is White and has no prior pregnancies, presents to their gynecologist with complaints of irregular menstruation, having had only two periods in the last year. They also report feeling flushed without provocation, experiencing occasional dyspareunia with post-coital spotting, and having more frequent headaches than usual. The individual has a past medical history of Hashimoto’s thyroiditis and takes levothyroxine daily. Their mother has type I diabetes mellitus. At this visit, their temperature is 98.5°F (36.9°C), pulse is 70/min, blood pressure is 118/76 mmHg, and respirations are 13/min. Cardiopulmonary and abdominal exams are unremarkable. They have Tanner V breasts and pubic hair. Pelvic exam reveals a normal cervix, anteverted uterus without tenderness, and no adnexal masses. The following laboratory studies are performed:

Serum:
Thyroid stimulating hormone (TSH): 28 µIU/mL (9-30 µIU/mL)
Cycle day 3 follicle stimulating hormone (FSH): 49 mIU/mL (4.7-21.5 mIU/mL)
Cycle day 3 estradiol: 8 pg/mL (27-123 pg/mL)
Prolactin: 14 ng/mL (4-23 ng/mL)
Testosterone: 42 ng/dL (15-70 ng/dL)

Which of the following is the best next step in management?",Measurement of anti-Müllerian hormone (AMH).,Estradiol patch with oral medroxyprogesterone,Inaccurate
17,"An Asian person is brought to the emergency department with the acute onset of severe abdominal pain for the past 2 hours. They have a history of frequent episodes of vague abdominal pain, but it has never been this severe. Every time they have had pain, it would resolve after eating a meal. Their past medical history is otherwise insignificant. Their vital signs include: blood pressure 121/77 mm Hg, pulse 91/min, respiratory rate 21/min, and temperature 37°C (98.6°F). On examination, their abdomen is flat and rigid. Which of the following is the next best step in evaluating this patient’s discomfort and stomach pain by physical exam?",Rectal examination.,Auscultate the abdomen,Inaccurate
18,"A Black/African American individual is brought to the emergency room by their partner, complaining, ""I can’t see out of my right eye."" They were watching television last night when they covered their left eye due to an itch and discovered that they could not see out of the right eye. The patient denies any precipitating event, pain, swelling, flashes, floaters, or headaches. The past medical history is significant for uncontrolled hypertension and angina. Their medications include hydrochlorothiazide, lisinopril, atorvastatin, and nitroglycerin as needed. The physical examination is unremarkable. Fundus examination demonstrates generalized pallor and slight disc edema with no hemorrhages. What is the most likely explanation for this patient’s symptoms?",The most likely explanation for this patient’s symptoms is central retinal artery occlusion (CRAO).,Occlusion of the ophthalmic artery by embolus,Relevant
19,"An 18-month-old Native Hawaiian/Pacific Islander presents to the emergency department for malaise. Their parents report worsening fatigue for 3 days with associated irritability and anorexia. The patient's newborn screening revealed a point mutation in the beta-globin gene but the patient has otherwise been healthy since birth. On physical exam, the temperature is 102.4°F (39.1°C), blood pressure is 78/42 mmHg, pulse is 124/min, and respirations are 32/min. The child appears tired and is difficult to soothe. Laboratory testing is performed and reveals the following:

Serum:
Na+: 137 mEq/L
Cl-: 100 mEq/L
K+: 4.4 mEq/L
HCO3-: 24 mEq/L
Urea nitrogen: 16 mg/dL
Creatinine: 0.9 mg/dL
Glucose: 96 mg/dL

Leukocyte count: 19,300/mm^3 with normal differential
Hemoglobin: 7.8 g/dL
Hematocrit: 21%
Mean corpuscular volume: 82 um^3
Platelet count: 324,000/mm^3
Reticulocyte index: 3.6%

Which of the following is the most likely causative organism for this patient's presentation?",Streptococcus pneumoniae,Streptococcus pneumoniae,accurate
